"Drug1","Drug2","Drug1.target","Drug2.target","n.syn","n.syn.score","Drug.num1","Drug.num2"
"Wnti","QS11","bCatenin","ARFGAP",8,0.342042780263905,3,28
"YM155","temozolomide","survivin/BIRC5","alkylating agent (tetrazine)",8,1.20515242166185,7,75
"bivanib/BI2536","AZD7762","Plk1","Chk1/2",8,1.25895886733796,8,27
"bivanib/BI2536","KU55933","Plk1","ATM",8,1.25895886733796,8,46
"bivanib/BI2536","tipifarnib","Plk1","FTI",8,1.25895886733796,8,72
"cisplatin","Veliparib/ABT888","alkylating agent (platinum)","PARP",8,1.23646518505219,21,81
"fingolimod","LFM-A13","Sphingosine-1-phosphate receptor agonist","BTK, Plk",8,-0.362853181388897,1,90
"fingolimod","Midostaurin/PKC412","Sphingosine-1-phosphate receptor agonist","Multi (FLT3, KIT, etc., broad spectrum)",8,-0.362853181388897,1,15
"fingolimod","T0901317","Sphingosine-1-phosphate receptor agonist","LXR",8,-0.362853181388897,1,56
"fingolimod","Tanespimycin/17-AAG","Sphingosine-1-phosphate receptor agonist","HSP90",8,-0.362853181388897,1,19
"fingolimod","YM155","Sphingosine-1-phosphate receptor agonist","survivin/BIRC5",8,-0.362853181388897,1,7
"lenalidomide","STA4783","TNFa","HSP70 inducer",8,0.966316053487673,98,6
"pioglitazone","Wnti","PPARg, agonist","bCatenin",8,0.342042780263905,53,3
"sunitinib","L779450","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","Raf",8,2.52267656183668,42,51
"vincristine","MK1775","microtubule agent (vinca alkyloid)","Wee-1",8,0.54430481691662,5,37
"vincristine","MK2206","microtubule agent (vinca alkyloid)","Akt",8,0.54430481691662,5,59
"ABT263","ENMD2076","Bcl-2, Bcl-x, Bcl-xl","Aurora A, FLT3, c-KIT, FGFR1/3",7,0.347996860563053,4,106
"ABT263","Embelin","Bcl-2, Bcl-x, Bcl-xl","XIAP",7,0.347996860563053,4,25
"ABT263","L779450","Bcl-2, Bcl-x, Bcl-xl","Raf",7,0.347996860563053,4,51
"ABT263","OSI906","Bcl-2, Bcl-x, Bcl-xl","IGF1R",7,0.347996860563053,4,57
"ABT263","gemcitabine","Bcl-2, Bcl-x, Bcl-xl","Antimetabolite (pyrimidine)",7,0.347996860563053,4,50
"Bexarotene","QS11","RXR","ARFGAP",7,1.95757750714748,29,28
"Bortezomib","CP690550","proteasome","JAK3",7,-0.142921108443662,2,70
"Bortezomib","Darinaparsin","proteasome","arsenic",7,-0.142921108443662,2,60
"Bortezomib","IPA3","proteasome","PAK",7,-0.142921108443662,2,88
"Bortezomib","KU0063794","proteasome","mTOR kinase",7,-0.142921108443662,2,83
"Bortezomib","Tamatinib/R406","proteasome","Syk",7,-0.142921108443662,2,17
"Bortezomib","vorinostat/SAHA","proteasome","HDAC",7,-0.142921108443662,2,96
"CHIR265","U73122","Raf, VEGFR","PLC",7,1.53793400082678,14,20
"Docetaxel","CP690550","microtubule agent (taxane)","JAK3",7,1.31501740098241,10,70
"Dovitinib/CHIR-258","ZM336372","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","Raf (c-Raf)",7,1.937199404126,35,43
"Enzastaurin","YM155","PKCbeta","survivin/BIRC5",7,0.933103246307803,31,7
"FH535","NVP-TAE684","bCatenin","ALK",7,2.04712557646396,23,40
"FK866","Bortezomib","NAMPRT","proteasome",7,-0.142921108443662,12,2
"FK866","YM155","NAMPRT","survivin/BIRC5",7,0.933103246307803,12,7
"FK866","dasatanib","NAMPRT","Multi (BCR-Abl, EAR, PDGFR, c-kit)",7,1.28886361711532,12,34
"GW9662","Wnti","PPARg","bCatenin",7,0.166929969315399,58,3
"HIF-1i","Tie2i","HIFa","TIE_2",7,1.72109403858023,30,48
"MK1775","STA4783","Wee-1","HSP70 inducer",7,0.68226160919322,37,6
"MK2206","NVP-BEZ235","Akt","PI3K/TORC1/TORC2 dual specificity",7,2.62911597008189,59,78
"Midostaurin/PKC412","CP690550","Multi (FLT3, KIT, etc., broad spectrum)","JAK3",7,1.7325502638697,15,70
"Midostaurin/PKC412","SNS314","Multi (FLT3, KIT, etc., broad spectrum)","Aurora (pan)",7,1.7325502638697,15,55
"Midostaurin/PKC412","T0901317","Multi (FLT3, KIT, etc., broad spectrum)","LXR",7,1.7325502638697,15,56
"OSU03012","C75","PDK1","Fatty Acid Synthase",7,0.950596928679651,9,47
"Pazopanib","Bortezomib","Multi (VEGFR2, FLT1, FLT4)","proteasome",7,-0.142921108443662,102,2
"Perifosine","CP690550","Akt/PI3K","JAK3",7,1.51668311692071,24,70
"Perifosine","fingolimod","Akt/PI3K","Sphingosine-1-phosphate receptor agonist",7,-0.517535613295718,24,1
"Perifosine","tipifarnib","Akt/PI3K","FTI",7,1.51668311692071,24,72
"RKI983","QS11","ROCK","ARFGAP",7,1.6317337690161,16,28
"STA4783","GW2580","HSP70 inducer","CSF1R/fms",7,0.68226160919322,6,71
"STA4783","JZL184","HSP70 inducer","MAGL",7,0.68226160919322,6,33
"SU6656","STA4783","Lyn/Src/Fyn/Yes","HSP70 inducer",7,0.68226160919322,52,6
"SU6656","Wnti","Lyn/Src/Fyn/Yes","bCatenin",7,0.166929969315399,52,3
"Tamatinib/R406","HIF-1i","Syk","HIFa",7,1.59250209091286,17,30
"Tamatinib/R406","NVP-TAE684","Syk","ALK",7,1.59250209091286,17,40
"Tamatinib/R406","STA4783","Syk","HSP70 inducer",7,0.68226160919322,17,6
"U73122","HIF-1i","PLC","HIFa",7,1.72109403858023,20,30
"VX702","Bortezomib","p38","proteasome",7,-0.142921108443662,74,2
"VX702","gemcitabine","p38","Antimetabolite (pyrimidine)",7,2.19226365152068,74,50
"Wnti","XAV939","bCatenin","tankyrase 1/2",7,0.166929969315399,3,97
"YM155","BMS536924","survivin/BIRC5","Multi (IGFR1R, InR, FAK)",7,0.933103246307803,7,44
"YM155","Wnti","survivin/BIRC5","bCatenin",7,0.166929969315399,7,3
"bivanib/BI2536","MK1775","Plk1","Wee-1",7,0.980059076851083,8,37
"bivanib/BI2536","T0901317","Plk1","LXR",7,0.980059076851083,8,56
"bivanib/BI2536","vasastrol","Plk1","KSP (Eg5, kinesin-5)",7,0.980059076851083,8,67
"fingolimod","IPA3","Sphingosine-1-phosphate receptor agonist","PAK",7,-0.517535613295718,1,88
"fludarabine","AZD7762","Antimetabolite (purine)","Chk1/2",7,1.50429070536208,11,27
"fludarabine","FH535","Antimetabolite (purine)","bCatenin",7,1.59511932239791,11,23
"fludarabine","STA4783","Antimetabolite (purine)","HSP70 inducer",7,0.68226160919322,11,6
"fludarabine","dasatanib","Antimetabolite (purine)","Multi (BCR-Abl, EAR, PDGFR, c-kit)",7,1.59511932239791,11,34
"gemcitabine","fludarabine","Antimetabolite (pyrimidine)","Antimetabolite (purine)",7,1.59511932239791,50,11
"nilotinib","Wnti","Multi (BCR-Abl, PDGFR, c-kit)","bCatenin",7,0.166929969315399,66,3
"sorafenib","lapatinib","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","EGFR, HER2, ErbB4",7,1.0728857475483,26,13
"stibogluconate","Wnti","SHP1/2/PTP1B","bCatenin",7,0.166929969315399,54,3
"temozolomide","STA4783","alkylating agent (tetrazine)","HSP70 inducer",7,0.68226160919322,75,6
"tipifarnib","STA4783","FTI","HSP70 inducer",7,0.68226160919322,72,6
"vatalanib/PTK787","HIF-1i","VEFGR (1-4), c-kit, PDGFb","HIFa",7,1.28289815657001,22,30
"vatalanib/PTK787","U73122","VEFGR (1-4), c-kit, PDGFb","PLC",7,1.28289815657001,22,20
"vincristine","JZL184","microtubule agent (vinca alkyloid)","MAGL",7,0.37597933885281,5,33
"vincristine","SU6656","microtubule agent (vinca alkyloid)","Lyn/Src/Fyn/Yes",7,0.37597933885281,5,52
"vincristine","sorafenib","microtubule agent (vinca alkyloid)","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)",7,0.37597933885281,5,26
"ABT263","GW0742","Bcl-2, Bcl-x, Bcl-xl","PPARd, agonist",6,0.158018982602611,4,63
"ABT263","LFM-A13","Bcl-2, Bcl-x, Bcl-xl","BTK, Plk",6,0.158018982602611,4,90
"ABT263","MK2206","Bcl-2, Bcl-x, Bcl-xl","Akt",6,0.158018982602611,4,59
"ABT263","NVP-TAE684","Bcl-2, Bcl-x, Bcl-xl","ALK",6,0.158018982602611,4,40
"ABT263","everolimus","Bcl-2, Bcl-x, Bcl-xl","mTor",6,0.158018982602611,4,41
"ABT263","tipifarnib","Bcl-2, Bcl-x, Bcl-xl","FTI",6,0.158018982602611,4,72
"AZD7762","OSU03012","Chk1/2","PDK1",6,0.695674945299394,27,9
"BMS536924","Wnti","Multi (IGFR1R, InR, FAK)","bCatenin",6,-0.00818284163310781,44,3
"Bexarotene","OSU03012","RXR","PDK1",6,0.695674945299394,29,9
"Bexarotene","Wnti","RXR","bCatenin",6,-0.00818284163310781,29,3
"Bexarotene","bivanib/BI2536","RXR","Plk1",6,0.701159286364206,29,8
"Bortezomib","BID1870","proteasome","RSK (RSK1/2/3/5/, PLK1, ARKB)",6,-0.344138984805134,2,45
"Bortezomib","BMS536924","proteasome","Multi (IGFR1R, InR, FAK)",6,-0.344138984805134,2,44
"Bortezomib","CX4945","proteasome","CK2a",6,-0.344138984805134,2,49
"Bortezomib","GW9662","proteasome","PPARg",6,-0.344138984805134,2,58
"Bortezomib","HIF-1i","proteasome","HIFa",6,-0.344138984805134,2,30
"Bortezomib","Indole-3-carbinol","proteasome","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",6,-0.344138984805134,2,89
"Bortezomib","L779450","proteasome","Raf",6,-0.344138984805134,2,51
"Bortezomib","LSN415169","proteasome","gamma secretase",6,-0.344138984805134,2,84
"Bortezomib","Tie2i","proteasome","TIE_2",6,-0.344138984805134,2,48
"Bortezomib","gemcitabine","proteasome","Antimetabolite (pyrimidine)",6,-0.344138984805134,2,50
"Bortezomib","lapatinib","proteasome","EGFR, HER2, ErbB4",6,-0.344138984805134,2,13
"Bortezomib","lenalidomide","proteasome","TNFa",6,-0.344138984805134,2,98
"CHIR265","SU6656","Raf, VEGFR","Lyn/Src/Fyn/Yes",6,1.19933536278467,14,52
"CHIR265","temozolomide","Raf, VEGFR","alkylating agent (tetrazine)",6,1.19933536278467,14,75
"CP690550","STA4783","JAK3","HSP70 inducer",6,0.398207164898766,70,6
"Darinaparsin","YM155","arsenic","survivin/BIRC5",6,0.661054070953757,60,7
"Docetaxel","Tanespimycin/17-AAG","microtubule agent (taxane)","HSP90",6,0.969300295564432,10,19
"Docetaxel","Wnti","microtubule agent (taxane)","bCatenin",6,-0.00818284163310781,10,3
"Dovitinib/CHIR-258","Bexarotene","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","RXR",6,1.58084946170722,35,29
"Dovitinib/CHIR-258","NVP-TAE684","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","ALK",6,1.7315954411504,35,40
"ENMD2076","STA4783","Aurora A, FLT3, c-KIT, FGFR1/3","HSP70 inducer",6,0.398207164898766,106,6
"ENMD2076","Wnti","Aurora A, FLT3, c-KIT, FGFR1/3","bCatenin",6,-0.00818284163310781,106,3
"FK866","GSK0660","NAMPRT","PPARd, ant",6,0.980343690870715,12,68
"FK866","IPA3","NAMPRT","PAK",6,0.980343690870715,12,88
"FK866","PF562271","NAMPRT","FAK1/2",6,0.980343690870715,12,64
"FK866","STA4783","NAMPRT","HSP70 inducer",6,0.398207164898766,12,6
"FK866","bivanib/BI2536","NAMPRT","Plk1",6,0.701159286364206,12,8
"Indole-3-carbinol","STA4783","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","HSP70 inducer",6,0.398207164898766,89,6
"LFM-A13","Wnti","BTK, Plk","bCatenin",6,-0.00818284163310781,90,3
"Midostaurin/PKC412","GSK0660","Multi (FLT3, KIT, etc., broad spectrum)","PPARd, ant",6,1.37188318559332,15,68
"Midostaurin/PKC412","QS11","Multi (FLT3, KIT, etc., broad spectrum)","ARFGAP",6,1.37188318559332,15,28
"OSI906","CHIR265","IGF1R","Raf, VEGFR",6,1.19933536278467,57,14
"OSU03012","Tie2i","PDK1","TIE_2",6,0.695674945299394,9,48
"PF04217903","Wnti","MET","bCatenin",6,-0.00818284163310781,87,3
"PF562271","Bortezomib","FAK1/2","proteasome",6,-0.344138984805134,64,2
"PLX4720","OSU03012","Raf (BRafV600E)","PDK1",6,0.695674945299394,79,9
"PLX4720","STA4783","Raf (BRafV600E)","HSP70 inducer",6,0.398207164898766,79,6
"Pazopanib","fingolimod","Multi (VEGFR2, FLT1, FLT4)","Sphingosine-1-phosphate receptor agonist",6,-0.672218045202539,102,1
"Perifosine","Wnti","Akt/PI3K","bCatenin",6,-0.00818284163310781,24,3
"SNS314","BID1870","Aurora (pan)","RSK (RSK1/2/3/5/, PLK1, ARKB)",6,1.4155412796673,55,45
"STA4783","BID1870","HSP70 inducer","RSK (RSK1/2/3/5/, PLK1, ARKB)",6,0.398207164898766,6,45
"STA4783","GW0742","HSP70 inducer","PPARd, agonist",6,0.398207164898766,6,63
"STA4783","GW441756","HSP70 inducer","TrkA",6,0.398207164898766,6,82
"STA4783","GW9662","HSP70 inducer","PPARg",6,0.398207164898766,6,58
"STA4783","Tie2i","HSP70 inducer","TIE_2",6,0.398207164898766,6,48
"STA4783","XAV939","HSP70 inducer","tankyrase 1/2",6,0.398207164898766,6,97
"Tozasertib/VX680","SNS314","Multi (AuroraABC, Abl, AblT351I, Flt-3)","Aurora (pan)",6,2.60787465187353,92,55
"U73122","FH535","PLC","bCatenin",6,1.64373250706867,20,23
"U73122","L779450","PLC","Raf",6,1.7624491783388,20,51
"Veliparib/ABT888","bivanib/BI2536","PARP","Plk1",6,0.701159286364206,81,8
"YM155","CP690550","survivin/BIRC5","JAK3",6,0.661054070953757,7,70
"YM155","JZL184","survivin/BIRC5","MAGL",6,0.661054070953757,7,33
"YM155","NVP-TAE684","survivin/BIRC5","ALK",6,0.661054070953757,7,40
"YM155","SNS314","survivin/BIRC5","Aurora (pan)",6,0.661054070953757,7,55
"YM155","Tamatinib/R406","survivin/BIRC5","Syk",6,0.661054070953757,7,17
"YM155","lenalidomide","survivin/BIRC5","TNFa",6,0.661054070953757,7,98
"bivanib/BI2536","GW9662","Plk1","PPARg",6,0.701159286364206,8,58
"bivanib/BI2536","NVP-TAE684","Plk1","ALK",6,0.701159286364206,8,40
"bivanib/BI2536","QS11","Plk1","ARFGAP",6,0.701159286364206,8,28
"bivanib/BI2536","XAV939","Plk1","tankyrase 1/2",6,0.701159286364206,8,97
"bivanib/BI2536","ZM336372","Plk1","Raf (c-Raf)",6,0.701159286364206,8,43
"everolimus","BMS536924","mTor","Multi (IGFR1R, InR, FAK)",6,1.68818879518028,41,44
"fingolimod","PIM-1 4a","Sphingosine-1-phosphate receptor agonist","PIM",6,-0.672218045202539,1,36
"fingolimod","TCS401","Sphingosine-1-phosphate receptor agonist","PTP-1B",6,-0.672218045202539,1,107
"fingolimod","U73122","Sphingosine-1-phosphate receptor agonist","PLC",6,-0.672218045202539,1,20
"fludarabine","MK1775","Antimetabolite (purine)","Wee-1",6,1.20275663849774,11,37
"fludarabine","YM155","Antimetabolite (purine)","survivin/BIRC5",6,0.661054070953757,11,7
"fludarabine","decitabine","Antimetabolite (purine)","methyl transferase inhibitor",6,1.20275663849774,11,69
"fludarabine","vatalanib/PTK787","Antimetabolite (purine)","VEFGR (1-4), c-kit, PDGFb",6,1.02963228433202,11,22
"lapatinib","SrcI1","EGFR, HER2, ErbB4","Src",6,0.829668003930357,13,18
"ruxolitinib","Bortezomib","JAK1/2, Tyk2","proteasome",6,-0.344138984805134,93,2
"selumetinib/AZD6244","Bortezomib","MEK","proteasome",6,-0.344138984805134,32,2
"selumetinib/AZD6244","OSI906","MEK","IGF1R",6,2.03888825199846,32,57
"selumetinib/AZD6244","STA4783","MEK","HSP70 inducer",6,0.398207164898766,32,6
"stibogluconate","SU6656","SHP1/2/PTP1B","Lyn/Src/Fyn/Yes",6,2.06763948799621,54,52
"sunitinib","SNS-032","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","CDK2/7/9",6,1.38668191888105,42,38
"sunitinib","Tanespimycin/17-AAG","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","HSP90",6,1.7470260097777,42,19
"sunitinib","lapatinib","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","EGFR, HER2, ErbB4",6,0.829668003930357,42,13
"tipifarnib","vasastrol","FTI","KSP (Eg5, kinesin-5)",6,2.47019672362054,72,67
"vatalanib/PTK787","bivanib/BI2536","VEFGR (1-4), c-kit, PDGFb","Plk1",6,0.701159286364206,22,8
"vincristine","IPA3","microtubule agent (vinca alkyloid)","PAK",6,0.207653860789,5,88
"vincristine","nilotinib","microtubule agent (vinca alkyloid)","Multi (BCR-Abl, PDGFR, c-kit)",6,0.207653860789,5,66
"vorinostat/SAHA","STA4783","HDAC","HSP70 inducer",6,0.398207164898766,96,6
"ABT263","Nutlin-3","Bcl-2, Bcl-x, Bcl-xl","MDM2/p53",5,-0.0319588953578314,4,95
"ABT263","SNS314","Bcl-2, Bcl-x, Bcl-xl","Aurora (pan)",5,-0.0319588953578314,4,55
"ABT263","SrcI1","Bcl-2, Bcl-x, Bcl-xl","Src",5,-0.0319588953578314,4,18
"ABT263","ZM336372","Bcl-2, Bcl-x, Bcl-xl","Raf (c-Raf)",5,-0.0319588953578314,4,43
"AZD7762","GW9662","Chk1/2","PPARg",5,0.92425789284409,27,58
"AZD7762","PD173074","Chk1/2","FGFR1/3",5,0.92425789284409,27,91
"BI78D3","STA4783","JNK","HSP70 inducer",5,0.114152720604313,99,6
"BI78D3","Wnti","JNK","bCatenin",5,-0.183295652581614,99,3
"Bexarotene","U73122","RXR","PLC",5,1.20412141626697,29,20
"Bortezomib","FH535","proteasome","bCatenin",5,-0.545356861166606,2,23
"Bortezomib","PD173074","proteasome","FGFR1/3",5,-0.545356861166606,2,91
"Bortezomib","SNS314","proteasome","Aurora (pan)",5,-0.545356861166606,2,55
"Bortezomib","XL147","proteasome","PI3K",5,-0.545356861166606,2,61
"CHIR265","AS252424","Raf, VEGFR","PI3K (gamma)",5,0.860736724742561,14,62
"CHIR265","BMS536924","Raf, VEGFR","Multi (IGFR1R, InR, FAK)",5,0.860736724742561,14,44
"CHIR265","NVP-TAE684","Raf, VEGFR","ALK",5,0.860736724742561,14,40
"CX4945","C75","CK2a","Fatty Acid Synthase",5,1.16104767687117,49,47
"CX4945","OSU03012","CK2a","PDK1",5,0.440752961919136,49,9
"CX4945","fludarabine","CK2a","Antimetabolite (purine)",5,0.81039395459756,49,11
"Crizotinib/PF2341066","lapatinib","Multi (c-kit, ALK, MET)","EGFR, HER2, ErbB4",5,0.586450260312417,103,13
"Darinaparsin","STA4783","arsenic","HSP70 inducer",5,0.114152720604313,60,6
"Docetaxel","AS252424","microtubule agent (taxane)","PI3K (gamma)",5,0.623583190146451,10,62
"Docetaxel","Dorsomorphin","microtubule agent (taxane)","AMPK/BMP antagonist",5,0.623583190146451,10,39
"Docetaxel","Embelin","microtubule agent (taxane)","XIAP",5,0.623583190146451,10,25
"Docetaxel","GW441756","microtubule agent (taxane)","TrkA",5,0.623583190146451,10,82
"Docetaxel","JNK5a","microtubule agent (taxane)","JNK",5,0.623583190146451,10,86
"Docetaxel","KU55933","microtubule agent (taxane)","ATM",5,0.623583190146451,10,46
"Docetaxel","PF04217903","microtubule agent (taxane)","MET",5,0.623583190146451,10,87
"Docetaxel","erlotinib","microtubule agent (taxane)","EGFR",5,0.623583190146451,10,65
"Docetaxel","lapatinib","microtubule agent (taxane)","EGFR, HER2, ErbB4",5,0.586450260312417,10,13
"Docetaxel","vorinostat/SAHA","microtubule agent (taxane)","HDAC",5,0.623583190146451,10,96
"Dovitinib/CHIR-258","GSK650394","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","SGK",5,1.33905155936419,35,94
"FK866","Darinaparsin","NAMPRT","arsenic",5,0.671823764626108,12,60
"FK866","sunitinib","NAMPRT","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",5,0.671823764626108,12,42
"GW0742","Wnti","PPARd, agonist","bCatenin",5,-0.183295652581614,63,3
"HIF-1i","QS11","HIFa","ARFGAP",5,1.06456262279383,30,28
"IMD0354","T0901317","IKK","LXR",5,1.47822231757163,108,56
"IMD0354","fingolimod","IKK","Sphingosine-1-phosphate receptor agonist",5,-0.826900477109359,108,1
"Indole-3-carbinol","Wnti","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","bCatenin",5,-0.183295652581614,89,3
"JNK5a","STA4783","JNK","HSP70 inducer",5,0.114152720604313,86,6
"Lestaurtinib","Wnti","Multi (Flt2, TrkA, RET, JAK2)","bCatenin",5,-0.183295652581614,101,3
"Midostaurin/PKC412","Embelin","Multi (FLT3, KIT, etc., broad spectrum)","XIAP",5,1.01121610731694,15,25
"Midostaurin/PKC412","Wnti","Multi (FLT3, KIT, etc., broad spectrum)","bCatenin",5,-0.183295652581614,15,3
"Midostaurin/PKC412","pioglitazone","Multi (FLT3, KIT, etc., broad spectrum)","PPARg, agonist",5,1.01121610731694,15,53
"NVP-BEZ235","SrcI1","PI3K/TORC1/TORC2 dual specificity","Src",5,0.967790536048607,78,18
"Nutlin-3","SNS-032","MDM2/p53","CDK2/7/9",5,1.07431357083837,95,38
"OSU03012","AS252424","PDK1","PI3K (gamma)",5,0.440752961919136,9,62
"OSU03012","GW441756","PDK1","TrkA",5,0.440752961919136,9,82
"OSU03012","pioglitazone","PDK1","PPARg, agonist",5,0.440752961919136,9,53
"PF562271","Bexarotene","FAK1/2","RXR",5,1.20412141626697,64,29
"PF562271","CHIR265","FAK1/2","Raf, VEGFR",5,0.860736724742561,64,14
"PF562271","STA4783","FAK1/2","HSP70 inducer",5,0.114152720604313,64,6
"PLX4720","YM155","Raf (BRafV600E)","survivin/BIRC5",5,0.389004895599711,79,7
"Pazopanib","GW2580","Multi (VEGFR2, FLT1, FLT4)","CSF1R/fms",5,2.07476404054825,102,71
"Pazopanib","Wnti","Multi (VEGFR2, FLT1, FLT4)","bCatenin",5,-0.183295652581614,102,3
"Pazopanib","lapatinib","Multi (VEGFR2, FLT1, FLT4)","EGFR, HER2, ErbB4",5,0.586450260312417,102,13
"RKI983","Tamatinib/R406","ROCK","Syk",5,0.930763357989845,16,17
"RKI983","XL147","ROCK","PI3K",5,0.953692940725913,16,61
"RKI983","everolimus","ROCK","mTor",5,0.953692940725913,16,41
"RKI983","fludarabine","ROCK","Antimetabolite (purine)",5,0.81039395459756,16,11
"SNS-032","Wnti","CDK2/7/9","bCatenin",5,-0.183295652581614,38,3
"STA4783","A769662","HSP70 inducer","AMPK agonist",5,0.114152720604313,6,76
"STA4783","PD173074","HSP70 inducer","FGFR1/3",5,0.114152720604313,6,91
"STA4783","SrcI1","HSP70 inducer","Src",5,0.114152720604313,6,18
"Tamatinib/R406","L779450","Syk","Raf",5,0.930763357989845,17,51
"Tamatinib/R406","Midostaurin/PKC412","Syk","Multi (FLT3, KIT, etc., broad spectrum)",5,0.930763357989845,17,15
"Tamatinib/R406","OSU03012","Syk","PDK1",5,0.440752961919136,17,9
"Tamatinib/R406","vasastrol","Syk","KSP (Eg5, kinesin-5)",5,0.930763357989845,17,67
"Tanespimycin/17-AAG","BID1870","HSP90","RSK (RSK1/2/3/5/, PLK1, ARKB)",5,1.10516644990418,19,45
"Tanespimycin/17-AAG","C75","HSP90","Fatty Acid Synthase",5,1.16104767687117,19,47
"Tanespimycin/17-AAG","tipifarnib","HSP90","FTI",5,1.66936930174517,19,72
"Tozasertib/VX680","CHIR265","Multi (AuroraABC, Abl, AblT351I, Flt-3)","Raf, VEGFR",5,0.860736724742561,92,14
"U73122","SrcI1","PLC","Src",5,0.967790536048607,20,18
"VX702","BMS536924","p38","Multi (IGFR1R, InR, FAK)",5,1.3172725711879,74,44
"Vismodegib/GDC0449","Wnti","Hh","bCatenin",5,-0.183295652581614,104,3
"XL147","dasatanib","PI3K","Multi (BCR-Abl, EAR, PDGFR, c-kit)",5,1.51452620031647,61,34
"YM155","AZD7762","survivin/BIRC5","Chk1/2",5,0.389004895599711,7,27
"YM155","Embelin","survivin/BIRC5","XIAP",5,0.389004895599711,7,25
"YM155","SNS-032","survivin/BIRC5","CDK2/7/9",5,0.389004895599711,7,38
